epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,12237.9,0.29084,0.23216,0.79833,0.99986,0.99987,0.995,0.96095,0.20636,0.18885,0.77704,0.00071375,0.00071375,0.00071375
67,12422.4,0.32791,0.23896,0.79586,0.99983,0.99978,0.995,0.91377,0.30884,0.21015,0.77808,0.0007055,0.0007055,0.0007055
68,12606.9,0.30732,0.23552,0.79461,0.99987,0.99985,0.995,0.95202,0.2306,0.19117,0.77711,0.00069725,0.00069725,0.00069725
69,12791.3,0.27925,0.23043,0.79414,0.99984,0.99987,0.995,0.96114,0.20254,0.18174,0.77636,0.000689,0.000689,0.000689
70,12977.1,0.26279,0.2219,0.79112,0.99986,0.99987,0.995,0.9623,0.19841,0.17887,0.77587,0.00068075,0.00068075,0.00068075
71,13168.5,0.2532,0.21635,0.7924,0.99988,0.99987,0.995,0.96914,0.18518,0.17347,0.77502,0.0006725,0.0006725,0.0006725
72,13359.4,0.26373,0.21727,0.79155,0.99984,0.99987,0.995,0.95647,0.20316,0.17706,0.77553,0.00066425,0.00066425,0.00066425
73,13554.7,0.2631,0.21705,0.79135,0.99988,0.99986,0.995,0.97313,0.18435,0.17302,0.7751,0.000656,0.000656,0.000656
74,13747.7,0.26771,0.21973,0.79042,0.99988,0.99985,0.995,0.96928,0.18802,0.17319,0.77468,0.00064775,0.00064775,0.00064775
75,13941.1,0.27072,0.21828,0.79068,0.99989,0.99987,0.995,0.96922,0.18415,0.17135,0.77381,0.0006395,0.0006395,0.0006395
76,14129,0.28605,0.22436,0.7929,0.99987,0.99985,0.995,0.95408,0.22916,0.18876,0.77553,0.00063125,0.00063125,0.00063125
77,14317.3,0.28294,0.22529,0.79219,0.99988,0.99987,0.995,0.95698,0.21858,0.18496,0.77517,0.000623,0.000623,0.000623
78,14505.3,0.27057,0.22236,0.79219,0.99983,0.99984,0.995,0.96292,0.20359,0.1795,0.77479,0.00061475,0.00061475,0.00061475
79,14694.2,0.26108,0.21517,0.79062,0.99989,0.99985,0.995,0.96625,0.18253,0.17022,0.77391,0.0006065,0.0006065,0.0006065
80,14882.5,0.27083,0.22166,0.79218,0.99976,0.99987,0.995,0.96212,0.20532,0.18175,0.77484,0.00059825,0.00059825,0.00059825
81,15070.2,0.26594,0.21798,0.7908,0.99973,0.99971,0.995,0.96008,0.20592,0.17561,0.77479,0.00059,0.00059,0.00059
82,15258.8,0.25239,0.21216,0.79049,0.99988,0.99987,0.995,0.96557,0.2048,0.17159,0.77386,0.00058175,0.00058175,0.00058175
83,15448,0.25265,0.2102,0.79021,0.99986,0.99987,0.995,0.96387,0.24193,0.18391,0.77519,0.0005735,0.0005735,0.0005735
84,15635.3,0.26088,0.2104,0.79045,0.99986,0.99987,0.995,0.97192,0.17621,0.16497,0.77325,0.00056525,0.00056525,0.00056525
85,15822.2,0.24891,0.20676,0.7887,0.99992,0.99985,0.995,0.96488,0.1814,0.1678,0.77306,0.000557,0.000557,0.000557
86,16009.5,0.2428,0.20584,0.78936,0.99989,0.99985,0.995,0.97111,0.17133,0.16296,0.77291,0.00054875,0.00054875,0.00054875
87,16197.2,0.23894,0.20455,0.7891,0.99988,0.99987,0.995,0.96115,0.21279,0.17362,0.77415,0.0005405,0.0005405,0.0005405
88,16402,0.24831,0.20556,0.78814,0.99988,0.99987,0.995,0.97451,0.19771,0.17072,0.77332,0.00053225,0.00053225,0.00053225
89,16599.6,0.24917,0.20522,0.78922,0.99988,0.99987,0.995,0.96684,0.20034,0.16818,0.77368,0.000524,0.000524,0.000524
90,16790,0.25583,0.20859,0.7902,0.99988,0.99986,0.995,0.97126,0.18511,0.16645,0.77337,0.00051575,0.00051575,0.00051575
91,16981.6,0.24655,0.20361,0.7889,0.99989,0.99987,0.995,0.9686,0.17557,0.16114,0.77319,0.0005075,0.0005075,0.0005075
92,17177.4,0.2421,0.20008,0.78924,0.99988,0.99987,0.995,0.97882,0.1649,0.15636,0.77271,0.00049925,0.00049925,0.00049925
93,17375.7,0.23209,0.19505,0.78913,0.99989,0.99985,0.995,0.9716,0.18905,0.16347,0.77312,0.000491,0.000491,0.000491
