epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7655.71,0.2933,0.23915,0.80124,0.99713,0.99643,0.99498,0.96765,0.2478,0.23621,0.8686,0.003763,0.003763,0.003763
65,7774.4,0.27834,0.23381,0.80109,0.99886,0.99929,0.995,0.97526,0.21929,0.21314,0.86166,0.003664,0.003664,0.003664
66,7893.25,0.28139,0.2324,0.80026,0.99968,0.99924,0.995,0.98467,0.21026,0.20172,0.8633,0.003565,0.003565,0.003565
67,8012.2,0.26862,0.22706,0.79751,0.99904,0.99925,0.995,0.97905,0.2226,0.19938,0.8631,0.003466,0.003466,0.003466
68,8131.12,0.27666,0.22891,0.79815,0.99866,0.99675,0.995,0.9847,0.20885,0.20784,0.86938,0.003367,0.003367,0.003367
69,8250.74,0.28592,0.23199,0.80011,0.99635,0.99477,0.99496,0.96907,0.25796,0.25156,0.869,0.003268,0.003268,0.003268
70,8369.98,0.28204,0.2312,0.80141,0.99918,0.99853,0.995,0.9792,0.22056,0.21374,0.86384,0.003169,0.003169,0.003169
71,8489.69,0.28502,0.23076,0.79781,0.99931,0.99887,0.995,0.98404,0.20055,0.1895,0.86234,0.00307,0.00307,0.00307
72,8608.7,0.26828,0.22301,0.79861,0.99921,0.99843,0.995,0.98764,0.1865,0.18703,0.8608,0.002971,0.002971,0.002971
73,8728.52,0.27845,0.22868,0.7983,0.9907,0.93779,0.9796,0.94568,0.29109,0.31169,0.87375,0.002872,0.002872,0.002872
74,8848.49,0.26921,0.22479,0.79971,0.38955,0.29907,0.16374,0.1139,1.00477,2.53443,1.07489,0.002773,0.002773,0.002773
75,8968.25,0.26735,0.22436,0.79683,0.99959,0.99916,0.995,0.98905,0.19336,0.1955,0.86321,0.002674,0.002674,0.002674
76,9087.71,0.27167,0.22384,0.7983,0.99363,0.979,0.99343,0.97637,0.24029,0.27737,0.86627,0.002575,0.002575,0.002575
77,9207.75,0.28003,0.22931,0.79972,0.91292,0.78007,0.8662,0.82654,0.31815,0.6185,0.883,0.002476,0.002476,0.002476
78,9326.88,0.25807,0.21844,0.79815,0.99898,0.99829,0.995,0.98693,0.20636,0.20739,0.86059,0.002377,0.002377,0.002377
79,9445.9,0.24891,0.21445,0.79537,0.99946,0.9996,0.995,0.98975,0.17943,0.18648,0.85552,0.002278,0.002278,0.002278
80,9565.44,0.25075,0.21223,0.79607,0.9988,0.99879,0.995,0.9879,0.1894,0.19469,0.86128,0.002179,0.002179,0.002179
81,9684.21,0.25346,0.21293,0.79684,0.99946,0.99849,0.995,0.98942,0.18283,0.19431,0.86043,0.00208,0.00208,0.00208
82,9803.28,0.26256,0.2161,0.79359,0.99963,0.99893,0.995,0.97982,0.22417,0.1965,0.86261,0.001981,0.001981,0.001981
83,9922.71,0.25162,0.21005,0.79444,0.99942,0.99964,0.995,0.98995,0.17537,0.18366,0.85977,0.001882,0.001882,0.001882
84,10042.2,0.24275,0.20566,0.7969,0.99945,0.99973,0.995,0.99127,0.16466,0.17369,0.85723,0.001783,0.001783,0.001783
85,10161.2,0.22931,0.19949,0.79339,0.99921,0.99967,0.995,0.99216,0.17155,0.18119,0.85821,0.001684,0.001684,0.001684
86,10280.2,0.23651,0.20206,0.797,0.99943,0.99891,0.995,0.99073,0.1696,0.17951,0.85907,0.001585,0.001585,0.001585
87,10399.3,0.23373,0.20092,0.79521,0.99982,0.99863,0.995,0.99108,0.17705,0.18165,0.85878,0.001486,0.001486,0.001486
88,10519,0.24336,0.20523,0.793,0.99948,0.99961,0.995,0.99017,0.18315,0.1795,0.85607,0.001387,0.001387,0.001387
89,10637.9,0.24089,0.20289,0.79371,0.99978,0.99954,0.995,0.99213,0.17319,0.17661,0.85533,0.001288,0.001288,0.001288
90,10756.4,0.23548,0.20174,0.79389,0.99952,0.99945,0.995,0.98708,0.18551,0.17628,0.8591,0.001189,0.001189,0.001189
91,10871.3,0.23149,0.19416,0.78048,0.99989,0.99995,0.995,0.98078,0.1995,0.1994,0.85801,0.00109,0.00109,0.00109
92,10986.4,0.21174,0.18438,0.7768,0.99964,0.9995,0.995,0.9868,0.18234,0.17723,0.85774,0.000991,0.000991,0.000991
93,11101.8,0.21237,0.18199,0.77547,0.99833,0.99848,0.995,0.98757,0.18463,0.19995,0.85955,0.000892,0.000892,0.000892
94,11217.2,0.20569,0.17852,0.77755,0.99941,0.99972,0.995,0.98922,0.16695,0.16766,0.85722,0.000793,0.000793,0.000793
95,11332.3,0.19393,0.17142,0.77808,0.99941,0.99941,0.995,0.99085,0.1691,0.16829,0.85769,0.000694,0.000694,0.000694
96,11447.4,0.19165,0.16888,0.77498,0.99948,0.99973,0.995,0.99074,0.15745,0.15913,0.858,0.000595,0.000595,0.000595
97,11563.1,0.19145,0.16907,0.77503,0.99968,0.99924,0.995,0.99151,0.15658,0.15622,0.85784,0.000496,0.000496,0.000496
98,11678.7,0.18887,0.16709,0.77996,0.99968,0.99955,0.995,0.99216,0.14915,0.15479,0.85714,0.000397,0.000397,0.000397
99,11794.4,0.18563,0.16527,0.77414,0.99956,1,0.995,0.99281,0.14876,0.14828,0.85602,0.000298,0.000298,0.000298
100,11910.2,0.18373,0.16235,0.77442,0.99924,0.99986,0.995,0.99225,0.14606,0.14989,0.85656,0.000199,0.000199,0.000199
